track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams
Permission to Dance,BTS,1,2021,7,9,1801,2,608334048
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine",4,2021,1,15,12043,0,863756573
RAPSTAR,Polo G,1,2021,4,9,4731,0,797402345
Se Le Ve,"Arcangel, De La Ghetto, Justin Quiles, Lenny Tavï¿½ï¿½rez, Sech, Dalex, Dimelo Flow, Rich Music",8,2021,8,12,1560,0,223319934
When Iï¿½ï¿½ï¿½m Gone (with Katy ,"Katy Perry, Alesso",2,2021,12,29,3270,0,226897599
Esqueï¿½ï¿½a-Me Se For C,"Marï¿½ï¿½lia Mendonï¿½ï¿½a, Maiara &",2,2021,10,14,580,0,258316038
Miï¿½ï¿½n,"Tini, Maria Becerra",2,2021,4,29,3406,16,596152090
Sï¿½ï¿½,"Anuel Aa, Myke Towers, Jhay Cortez",3,2021,11,18,903,0,177129919
Cigarettes,Juice WRLD,1,2021,12,10,975,0,185408548
Down Under (feat. Colin Hay),"Luude, Colin Hay",2,2021,11,19,3541,2,252871192
Mujeriego,Ryan Castro,1,2021,12,17,1492,0,231996128
Problemï¿½,"Alvaro Diaz, Rauw Alejandro",2,2021,10,22,1517,0,209768491
Hrs and Hrs,Muni Long,1,2021,11,19,1800,0,181328253
Christmas Tree,V,1,2021,12,24,509,9,317622165
Envolver,Anitta,1,2021,11,11,4673,2,546191065
Jordan,Ryan Castro,1,2021,4,30,2844,2,394030335
this is what falling in love feels like,JVKE,1,2021,9,3,2005,0,346127840
"jealousy, jealousy",Olivia Rodrigo,1,2021,5,21,3257,0,665765558
Monï¿½ï¿½y so,YEAT,1,2021,9,10,1473,0,263779030
Angel Baby,Troye Sivan,1,2021,9,9,1959,9,408843328
Ain't Shit,Doja Cat,1,2021,6,25,3436,0,499710590
SloMo,Chanel,1,2021,12,24,1211,0,65719930
Flowers,Lauren Spencer Smith,1,2021,8,9,801,0,184826429
295,Sidhu Moose Wala,1,2021,5,15,246,4,183273246
Angels Like You,Miley Cyrus,1,2020,11,27,3372,19,570515054
cardigan,Taylor Swift,1,2020,7,24,7923,29,812019557
Heat Waves,Glass Animals,1,2020,6,28,22543,63,2557975762
Still With You,Jung Kook,1,2020,6,5,31,39,38411956
august,Taylor Swift,1,2020,7,24,7324,22,607123776
Save Your Tears,The Weeknd,1,2020,3,20,12688,13,1591223784
Shut up My Moms Calling,Hotel Ugly,1,2020,2,10,1788,14,405136812
Save Your Tears (with Ariana Grande) (Remix),"Ariana Grande, The Weeknd",2,2020,3,20,9161,5,1221813483
After Hours,The Weeknd,1,2020,2,19,8084,6,698086140
ýýýýýýýýýýýýýýýýýýýýý,Fujii Kaze,1,2020,5,20,685,14,403097450
Heather,Conan Gray,1,2020,3,20,6170,7,1301799902
MIDDLE OF THE NIGHT,Elley Duhï¿,1,2020,1,10,4057,8,872137015
Bad Habits,Ed Sheeran,1,2020,9,3,12755,8,1555511105
Good Days,SZA,1,2020,12,24,10426,2,826623384
Levitating (feat. DaBaby),"Dua Lipa, DaBaby",2,2020,3,27,15894,8,1802514301
MONTERO (Call Me By Your Name),Lil Nas X,1,2020,9,18,12329,0,1735441776
Mon Amour - Remix,"Aitana, zzoilo",2,2020,9,21,3221,2,578207856
Todo De Ti,Rauw Alejandro,1,2020,11,2,11975,8,1168642797
Meet Me At Our Spot,"THE ANXIETY, Willow, Tyler Cole",3,2020,3,13,6734,0,530511203
Dakiti,"Bad Bunny, Jhay Cortez",2,2020,10,30,11215,21,1763363713
Life Goes On,Oliver Tree,1,2020,7,17,2868,0,501541661
Dynamite,BTS,1,2020,8,21,8528,5,1692897992
Mood (feat. Iann Dior),"24kgoldn, Iann Dior",2,2020,7,24,12854,0,1699402402
Sky,Playboi Carti,1,2020,12,25,3297,3,506778838
The Business,Tiï¿½ï¿,1,2020,1,1,14311,0,1062345656
positions,Ariana Grande,1,2020,10,23,8207,0,1252563873
HEARTBREAK ANNIVERSARY,Giveon,1,2020,2,21,5398,4,951637566
you broke me first,Tate McRae,1,2020,4,17,6638,0,1180094974
Excuses,"Intense, AP Dhillon, Gurinder Gill",3,2020,7,24,272,4,327498031
Contection,"GODZZ__-, Zakaria",2,2020,1,16,6955,0,1180896317
A Tu Merced,Bad Bunny,1,2020,2,29,4214,11,685071800
La Santa,"Daddy Yankee, Bad Bunny",2,2020,2,29,4890,20,759208783
La Zona,Bad Bunny,1,2020,2,29,1188,0,312622938
Levitating,Dua Lipa,1,2020,3,27,9833,0,797196073
Demasiadas Mujeres,C. Tangana,1,2020,10,8,2226,0,339473453
Caile,Luar La L,1,2020,12,18,1494,2,273914335
I Really Want to Stay at Your House,"Rosa Walton, Hallie Coggins",2,2020,12,18,668,1,140430339
